"stfips","year","dins","yexp2","W"
1,2008,0.681412220001221,NA,613156
1,2009,0.658062100410461,NA,613156
1,2010,0.631365120410919,NA,613156
1,2011,0.656388640403748,NA,613156
1,2012,0.670811474323273,NA,613156
1,2013,0.652154386043549,NA,613156
1,2014,0.688614666461945,NA,613156
1,2015,0.704941093921661,NA,613156
1,2016,0.72039920091629,NA,613156
1,2017,0.739164650440216,NA,613156
1,2018,0.695576429367065,NA,613156
1,2019,0.727472841739655,NA,613156
2,2008,0.490274399518967,2016,63595
2,2009,0.471383035182953,2016,63595
2,2010,0.523869335651398,2016,63595
2,2011,0.55135178565979,2016,63595
2,2012,0.473102301359177,2016,63595
2,2013,0.579175055027008,2016,63595
2,2014,0.531309008598328,2016,63595
2,2015,0.622264623641968,2016,63595
2,2016,0.65498411655426,2016,63595
2,2017,0.65888249874115,2016,63595
2,2018,0.710450947284698,2016,63595
2,2019,0.713079690933228,2016,63595
4,2008,0.609876275062561,2014,741152
4,2009,0.603841304779053,2014,741152
4,2010,0.622157454490662,2014,741152
4,2011,0.621818423271179,2014,741152
4,2012,0.605209767818451,2014,741152
4,2013,0.614528357982635,2014,741152
4,2014,0.688494145870209,2014,741152
4,2015,0.754056096076965,2014,741152
4,2016,0.74924111366272,2014,741152
4,2017,0.749587655067444,2014,741152
4,2018,0.738300383090973,2014,741152
4,2019,0.735501170158386,2014,741152
5,2008,0.623864948749542,2014,389081
5,2009,0.616609513759613,2014,389081
5,2010,0.601946890354156,2014,389081
5,2011,0.61867493391037,2014,389081
5,2012,0.647255539894104,2014,389081
5,2013,0.660112977027893,2014,389081
5,2014,0.724623918533325,2014,389081
5,2015,0.780925631523132,2014,389081
5,2016,0.816842436790466,2014,389081
5,2017,0.796191930770874,2014,389081
5,2018,0.779827833175659,2014,389081
5,2019,0.778677463531494,2014,389081
6,2008,0.576634645462036,2014,3657406
6,2009,0.556698262691498,2014,3657406
6,2010,0.560785830020905,2014,3657406
6,2011,0.565227568149567,2014,3657406
6,2012,0.567108035087585,2014,3657406
6,2013,0.586947202682495,2014,3657406
6,2014,0.689255893230438,2014,3657406
6,2015,0.777474045753479,2014,3657406
6,2016,0.800353348255157,2014,3657406
6,2017,0.806535601615906,2014,3657406
6,2018,0.808331668376923,2014,3657406
6,2019,0.791604995727539,2014,3657406
8,2008,0.604229986667633,2014,531915
8,2009,0.622359693050385,2014,531915
8,2010,0.62432599067688,2014,531915
8,2011,0.621745705604553,2014,531915
8,2012,0.631078243255615,2014,531915
8,2013,0.653115212917328,2014,531915
8,2014,0.751154601573944,2014,531915
8,2015,0.792861342430115,2014,531915
8,2016,0.78642749786377,2014,531915
8,2017,0.788481414318085,2014,531915
8,2018,0.794976115226746,2014,531915
8,2019,0.787310898303986,2014,531915
9,2008,0.703660130500793,2014,263488
9,2009,0.693790853023529,2014,263488
9,2010,0.688957214355469,2014,263488
9,2011,0.678856253623962,2014,263488
9,2012,0.709950685501099,2014,263488
9,2013,0.696852445602417,2014,263488
9,2014,0.794566690921783,2014,263488
9,2015,0.818610787391663,2014,263488
9,2016,0.858273804187775,2014,263488
9,2017,0.834649682044983,2014,263488
9,2018,0.846066534519196,2014,263488
9,2019,0.841768383979797,2014,263488
12,2008,0.548708617687225,NA,2292111
12,2009,0.534836709499359,NA,2292111
12,2010,0.524116218090057,NA,2292111
12,2011,0.526963651180267,NA,2292111
12,2012,0.547936499118805,NA,2292111
12,2013,0.549231708049774,NA,2292111
12,2014,0.612213551998138,NA,2292111
12,2015,0.668329775333405,NA,2292111
12,2016,0.671999156475067,NA,2292111
12,2017,0.672537207603455,NA,2292111
12,2018,0.673118352890015,NA,2292111
12,2019,0.667375028133392,NA,2292111
13,2008,0.559945940971375,NA,1138317
13,2009,0.548535168170929,NA,1138317
13,2010,0.541580677032471,NA,1138317
13,2011,0.538868069648743,NA,1138317
13,2012,0.554657697677612,NA,1138317
13,2013,0.555077314376831,NA,1138317
13,2014,0.604396820068359,NA,1138317
13,2015,0.649597764015198,NA,1138317
13,2016,0.667789876461029,NA,1138317
13,2017,0.640927910804749,NA,1138317
13,2018,0.647491812705994,NA,1138317
13,2019,0.635850012302399,NA,1138317
15,2008,0.785001337528229,2014,107703
15,2009,0.771704137325287,2014,107703
15,2010,0.78315794467926,2014,107703
15,2011,0.763701498508453,2014,107703
15,2012,0.798184812068939,2014,107703
15,2013,0.782004773616791,2014,107703
15,2014,0.851866185665131,2014,107703
15,2015,0.867884278297424,2014,107703
15,2016,0.872778654098511,2014,107703
15,2017,0.872503519058228,2014,107703
15,2018,0.872801721096039,2014,107703
15,2019,0.888725817203522,2014,107703
16,2008,0.645260691642761,NA,154443
16,2009,0.629188060760498,NA,154443
16,2010,0.602597534656525,NA,154443
16,2011,0.633387207984924,NA,154443
16,2012,0.599370181560516,NA,154443
16,2013,0.614498674869537,NA,154443
16,2014,0.70990401506424,NA,154443
16,2015,0.696797609329224,NA,154443
16,2016,0.726379454135895,NA,154443
16,2017,0.744852185249329,NA,154443
16,2018,0.738082468509674,NA,154443
16,2019,0.732439339160919,NA,154443
17,2008,0.624744832515717,2014,1190867
17,2009,0.600380897521973,2014,1190867
17,2010,0.583559453487396,2014,1190867
17,2011,0.60316801071167,2014,1190867
17,2012,0.594817817211151,2014,1190867
17,2013,0.622917711734772,2014,1190867
17,2014,0.721219420433044,2014,1190867
17,2015,0.794473350048065,2014,1190867
17,2016,0.817835807800293,2014,1190867
17,2017,0.804737627506256,2014,1190867
17,2018,0.807406604290009,2014,1190867
17,2019,0.816136240959167,2014,1190867
18,2008,0.666737675666809,2015,680701
18,2009,0.639554917812347,2015,680701
18,2010,0.625786244869232,2015,680701
18,2011,0.619113206863403,2015,680701
18,2012,0.627296447753906,2015,680701
18,2013,0.638425529003143,2015,680701
18,2014,0.687878787517548,2015,680701
18,2015,0.753612339496613,2015,680701
18,2016,0.78724867105484,2015,680701
18,2017,0.796036541461945,2015,680701
18,2018,0.796585559844971,2015,680701
18,2019,0.787652373313904,2015,680701
19,2008,0.732946872711182,2014,289463
19,2009,0.741450190544128,2014,289463
19,2010,0.732118368148804,2014,289463
19,2011,0.750049948692322,2014,289463
19,2012,0.768099009990692,2014,289463
19,2013,0.752796173095703,2014,289463
19,2014,0.820786416530609,2014,289463
19,2015,0.861323475837708,2014,289463
19,2016,0.889179587364197,2014,289463
19,2017,0.878291487693787,2014,289463
19,2018,0.855908870697021,2014,289463
19,2019,0.85555899143219,2014,289463
20,2008,0.671569168567657,NA,272514
20,2009,0.654481828212738,NA,272514
20,2010,0.623588144779205,NA,272514
20,2011,0.66494756937027,NA,272514
20,2012,0.66478556394577,NA,272514
20,2013,0.650883615016937,NA,272514
20,2014,0.721642792224884,NA,272514
20,2015,0.743300378322601,NA,272514
20,2016,0.765324115753174,NA,272514
20,2017,0.741635501384735,NA,272514
20,2018,0.76010125875473,NA,272514
20,2019,0.730836808681488,NA,272514
21,2008,0.675654709339142,2014,594160
21,2009,0.649545252323151,2014,594160
21,2010,0.635086238384247,2014,594160
21,2011,0.641746461391449,2014,594160
21,2012,0.653393864631653,2014,594160
21,2013,0.642313122749329,2014,594160
21,2014,0.794561564922333,2014,594160
21,2015,0.847556173801422,2014,594160
21,2016,0.861103296279907,2014,594160
21,2017,0.860591471195221,2014,594160
21,2018,0.858363687992096,2014,594160
21,2019,0.838927507400513,2014,594160
22,2008,0.584597110748291,2017,573400
22,2009,0.580977857112885,2017,573400
22,2010,0.558996081352234,2017,573400
22,2011,0.562862813472748,2017,573400
22,2012,0.586867928504944,2017,573400
22,2013,0.592963576316833,2017,573400
22,2014,0.631523728370667,2017,573400
22,2015,0.666504621505737,2017,573400
22,2016,0.716650545597076,2017,573400
22,2017,0.763652324676514,2017,573400
22,2018,0.782904505729675,2017,573400
22,2019,0.768143475055695,2017,573400
23,2008,0.735217750072479,2019,178660
23,2009,0.74571043252945,2019,178660
23,2010,0.703323423862457,2019,178660
23,2011,0.682881832122803,2019,178660
23,2012,0.714273035526276,2019,178660
23,2013,0.723271667957306,2019,178660
23,2014,0.762324154376984,2019,178660
23,2015,0.791891694068909,2019,178660
23,2016,0.759171366691589,2019,178660
23,2017,0.790961802005768,2019,178660
23,2018,0.791094541549683,2019,178660
23,2019,0.813594400882721,2019,178660
24,2008,0.650583863258362,2014,443165
24,2009,0.634620130062103,2014,443165
24,2010,0.641004204750061,2014,443165
24,2011,0.657679438591003,2014,443165
24,2012,0.67764288187027,2014,443165
24,2013,0.68559604883194,2014,443165
24,2014,0.749271214008331,2014,443165
24,2015,0.789168000221252,2014,443165
24,2016,0.794359028339386,2014,443165
24,2017,0.813568651676178,2014,443165
24,2018,0.808291673660278,2014,443165
24,2019,0.827259302139282,2014,443165
26,2008,0.690560042858124,2014,1149383
26,2009,0.665492057800293,2014,1149383
26,2010,0.65227860212326,2014,1149383
26,2011,0.6606764793396,2014,1149383
26,2012,0.670305371284485,2014,1149383
26,2013,0.691339433193207,2014,1149383
26,2014,0.76137775182724,2014,1149383
26,2015,0.835319399833679,2014,1149383
26,2016,0.845994830131531,2014,1149383
26,2017,0.849247813224792,2014,1149383
26,2018,0.841399729251862,2014,1149383
26,2019,0.842064082622528,2014,1149383
27,2008,0.750771582126617,2014,451658
27,2009,0.751208126544952,2014,451658
27,2010,0.74494743347168,2014,451658
27,2011,0.762848973274231,2014,451658
27,2012,0.746054530143738,2014,451658
27,2013,0.760010182857513,2014,451658
27,2014,0.806707382202148,2014,451658
27,2015,0.868272721767426,2014,451658
27,2016,0.879748165607452,2014,451658
27,2017,0.86271470785141,2014,451658
27,2018,0.866618275642395,2014,451658
27,2019,0.848819077014923,2014,451658
28,2008,0.647132039070129,NA,400963
28,2009,0.616943717002869,NA,400963
28,2010,0.61219334602356,NA,400963
28,2011,0.622780561447144,NA,400963
28,2012,0.625893473625183,NA,400963
28,2013,0.608538806438446,NA,400963
28,2014,0.641015112400055,NA,400963
28,2015,0.660382211208344,NA,400963
28,2016,0.674414753913879,NA,400963
28,2017,0.65941846370697,NA,400963
28,2018,0.669992744922638,NA,400963
28,2019,0.678837597370148,NA,400963
29,2008,0.685290396213531,NA,679992
29,2009,0.663128674030304,NA,679992
29,2010,0.666418790817261,NA,679992
29,2011,0.665236115455627,NA,679992
29,2012,0.651102602481842,NA,679992
29,2013,0.676801860332489,NA,679992
29,2014,0.714937746524811,NA,679992
29,2015,0.740519285202026,NA,679992
29,2016,0.756889343261719,NA,679992
29,2017,0.754720866680145,NA,679992
29,2018,0.738140344619751,NA,679992
29,2019,0.73543518781662,NA,679992
30,2008,0.62144011259079,2016,129850
30,2009,0.617281496524811,2016,129850
30,2010,0.650103211402893,2016,129850
30,2011,0.576649248600006,2016,129850
30,2012,0.615535795688629,2016,129850
30,2013,0.603459298610687,2016,129850
30,2014,0.681527674198151,2016,129850
30,2015,0.727623522281647,2016,129850
30,2016,0.78307455778122,2016,129850
30,2017,0.785001277923584,2016,129850
30,2018,0.785455107688904,2016,129850
30,2019,0.798949837684631,2016,129850
31,2008,0.70235949754715,NA,176226
31,2009,0.729953527450562,NA,176226
31,2010,0.686136066913605,NA,176226
31,2011,0.705648362636566,NA,176226
31,2012,0.699783504009247,NA,176226
31,2013,0.669127583503723,NA,176226
31,2014,0.729155719280243,NA,176226
31,2015,0.779046297073364,NA,176226
31,2016,0.779143393039703,NA,176226
31,2017,0.776879668235779,NA,176226
31,2018,0.77284449338913,NA,176226
31,2019,0.75443959236145,NA,176226
32,2008,0.571095705032349,2014,285833
32,2009,0.545008718967438,2014,285833
32,2010,0.558216512203217,2014,285833
32,2011,0.539389967918396,2014,285833
32,2012,0.541855573654175,2014,285833
32,2013,0.564074516296387,2014,285833
32,2014,0.674834132194519,2014,285833
32,2015,0.734199583530426,2014,285833
32,2016,0.751620650291443,2014,285833
32,2017,0.74131053686142,2014,285833
32,2018,0.785461783409119,2014,285833
32,2019,0.753405153751373,2014,285833
33,2008,0.693836212158203,2015,123349
33,2009,0.713017463684082,2015,123349
33,2010,0.662261307239532,2015,123349
33,2011,0.672948896884918,2015,123349
33,2012,0.677593946456909,2015,123349
33,2013,0.651250302791595,2015,123349
33,2014,0.693891942501068,2015,123349
33,2015,0.821272253990173,2015,123349
33,2016,0.809641003608704,2015,123349
33,2017,0.81486564874649,2015,123349
33,2018,0.814711511135101,2015,123349
33,2019,0.816139936447144,2015,123349
34,2008,0.632768452167511,2014,639267
34,2009,0.592813014984131,2014,639267
34,2010,0.584323108196259,2014,639267
34,2011,0.570015668869019,2014,639267
34,2012,0.588117957115173,2014,639267
34,2013,0.56965297460556,2014,639267
34,2014,0.635318100452423,2014,639267
34,2015,0.716136038303375,2014,639267
34,2016,0.754977226257324,2014,639267
34,2017,0.755308926105499,2014,639267
34,2018,0.775722742080688,2014,639267
34,2019,0.764901995658875,2014,639267
35,2008,0.592006266117096,2014,249070
35,2009,0.582407593727112,2014,249070
35,2010,0.587742269039154,2014,249070
35,2011,0.569665312767029,2014,249070
35,2012,0.587492883205414,2014,249070
35,2013,0.618993043899536,2014,249070
35,2014,0.692519724369049,2014,249070
35,2015,0.763659358024597,2014,249070
35,2016,0.799641728401184,2014,249070
35,2017,0.792012572288513,2014,249070
35,2018,0.798368275165558,2014,249070
35,2019,0.7808638215065,2014,249070
37,2008,0.635525703430176,NA,1143606
37,2009,0.607630014419556,NA,1143606
37,2010,0.618434250354767,NA,1143606
37,2011,0.60528975725174,NA,1143606
37,2012,0.611424028873444,NA,1143606
37,2013,0.617615520954132,NA,1143606
37,2014,0.677868902683258,NA,1143606
37,2015,0.719884753227234,NA,1143606
37,2016,0.721795558929443,NA,1143606
37,2017,0.716707289218903,NA,1143606
37,2018,0.718339204788208,NA,1143606
37,2019,0.718410551548004,NA,1143606
38,2008,0.74281519651413,2014,59918
38,2009,0.69572126865387,2014,59918
38,2010,0.709550738334656,2014,59918
38,2011,0.710675239562988,2014,59918
38,2012,0.708144545555115,2014,59918
38,2013,0.711144387722015,2014,59918
38,2014,0.787578344345093,2014,59918
38,2015,0.789107143878937,2014,59918
38,2016,0.851574063301086,2014,59918
38,2017,0.780919075012207,2014,59918
38,2018,0.77375602722168,2014,59918
38,2019,0.8237264752388,2014,59918
39,2008,0.665171086788177,2014,1290011
39,2009,0.655788600444794,2014,1290011
39,2010,0.646294116973877,2014,1290011
39,2011,0.647098362445831,2014,1290011
39,2012,0.656461477279663,2014,1290011
39,2013,0.663111865520477,2014,1290011
39,2014,0.74127185344696,2014,1290011
39,2015,0.807167172431946,2014,1290011
39,2016,0.829195261001587,2014,1290011
39,2017,0.830842852592468,2014,1290011
39,2018,0.816503763198853,2014,1290011
39,2019,0.823996365070343,2014,1290011
40,2008,0.583368420600891,NA,451214
40,2009,0.577299773693085,NA,451214
40,2010,0.576706826686859,NA,451214
40,2011,0.577113270759583,NA,451214
40,2012,0.602373540401459,NA,451214
40,2013,0.605593502521515,NA,451214
40,2014,0.639995515346527,NA,451214
40,2015,0.660632908344269,NA,451214
40,2016,0.66001546382904,NA,451214
40,2017,0.664774179458618,NA,451214
40,2018,0.649427473545074,NA,451214
40,2019,0.633944034576416,NA,451214
41,2008,0.61866420507431,2014,482260
41,2009,0.587678492069244,2014,482260
41,2010,0.590672373771667,2014,482260
41,2011,0.617650091648102,2014,482260
41,2012,0.633668661117554,2014,482260
41,2013,0.632641315460205,2014,482260
41,2014,0.753901481628418,2014,482260
41,2015,0.827969372272491,2014,482260
41,2016,0.839637696743011,2014,482260
41,2017,0.830638587474823,2014,482260
41,2018,0.814651250839233,2014,482260
41,2019,0.829881906509399,2014,482260
42,2008,0.747070372104645,2015,1256737
42,2009,0.734070718288422,2015,1256737
42,2010,0.711422383785248,2015,1256737
42,2011,0.706074953079224,2015,1256737
42,2012,0.714140772819519,2015,1256737
42,2013,0.716084897518158,2015,1256737
42,2014,0.752392947673798,2015,1256737
42,2015,0.801153063774109,2015,1256737
42,2016,0.815296232700348,2015,1256737
42,2017,0.8400719165802,2015,1256737
42,2018,0.829054296016693,2015,1256737
42,2019,0.831178367137909,2015,1256737
44,2008,0.691259860992432,2014,103511
44,2009,0.684179127216339,2014,103511
44,2010,0.668933153152466,2014,103511
44,2011,0.677089691162109,2014,103511
44,2012,0.682077169418335,2014,103511
44,2013,0.644410252571106,2014,103511
44,2014,0.818920075893402,2014,103511
44,2015,0.85436350107193,2014,103511
44,2016,0.899864852428436,2014,103511
44,2017,0.889585912227631,2014,103511
44,2018,0.9131138920784,2014,103511
44,2019,0.885466575622559,2014,103511
45,2008,0.623667418956757,NA,580646
45,2009,0.604014575481415,NA,580646
45,2010,0.602650761604309,NA,580646
45,2011,0.599898755550385,NA,580646
45,2012,0.58979606628418,NA,580646
45,2013,0.614866971969604,NA,580646
45,2014,0.655450284481049,NA,580646
45,2015,0.692115485668182,NA,580646
45,2016,0.728805005550385,NA,580646
45,2017,0.691233277320862,NA,580646
45,2018,0.705561399459839,NA,580646
45,2019,0.702531635761261,NA,580646
46,2008,0.691350281238556,NA,82673
46,2009,0.661178767681122,NA,82673
46,2010,0.690859317779541,NA,82673
46,2011,0.694973587989807,NA,82673
46,2012,0.696304082870483,NA,82673
46,2013,0.663650691509247,NA,82673
46,2014,0.725730895996094,NA,82673
46,2015,0.676281213760376,NA,82673
46,2016,0.728419601917267,NA,82673
46,2017,0.712746441364288,NA,82673
46,2018,0.771786212921143,NA,82673
46,2019,0.721619009971619,NA,82673
47,2008,0.645501613616943,NA,830678
47,2009,0.620471656322479,NA,830678
47,2010,0.623704791069031,NA,830678
47,2011,0.609091520309448,NA,830678
47,2012,0.636149883270264,NA,830678
47,2013,0.643709361553192,NA,830678
47,2014,0.677247405052185,NA,830678
47,2015,0.711437404155731,NA,830678
47,2016,0.73138839006424,NA,830678
47,2017,0.725501894950867,NA,830678
47,2018,0.700477659702301,NA,830678
47,2019,0.695262432098389,NA,830678
48,2008,0.528250813484192,NA,2576295
48,2009,0.511953949928284,NA,2576295
48,2010,0.518432557582855,NA,2576295
48,2011,0.52063125371933,NA,2576295
48,2012,0.527859508991241,NA,2576295
48,2013,0.540873229503632,NA,2576295
48,2014,0.589156270027161,NA,2576295
48,2015,0.613707304000854,NA,2576295
48,2016,0.613559126853943,NA,2576295
48,2017,0.609886109828949,NA,2576295
48,2018,0.606722116470337,NA,2576295
48,2019,0.595943033695221,NA,2576295
49,2008,0.645777702331543,NA,206808
49,2009,0.62516838312149,NA,206808
49,2010,0.614554047584534,NA,206808
49,2011,0.606301665306091,NA,206808
49,2012,0.639233291149139,NA,206808
49,2013,0.634116172790527,NA,206808
49,2014,0.67125278711319,NA,206808
49,2015,0.71740597486496,NA,206808
49,2016,0.728958487510681,NA,206808
49,2017,0.754328370094299,NA,206808
49,2018,0.748536050319672,NA,206808
49,2019,0.72229540348053,NA,206808
51,2008,0.68085527420044,2019,721729
51,2009,0.67923492193222,2019,721729
51,2010,0.657816708087921,2019,721729
51,2011,0.635680973529816,2019,721729
51,2012,0.622210025787354,2019,721729
51,2013,0.647749423980713,2019,721729
51,2014,0.698454916477203,2019,721729
51,2015,0.712392210960388,2019,721729
51,2016,0.73728621006012,2019,721729
51,2017,0.721781015396118,2019,721729
51,2018,0.729258298873901,2019,721729
51,2019,0.759861409664154,2019,721729
53,2008,0.67089718580246,2014,655871
53,2009,0.647210419178009,2014,655871
53,2010,0.639117300510406,2014,655871
53,2011,0.634494185447693,2014,655871
53,2012,0.64552515745163,2014,655871
53,2013,0.63703179359436,2014,655871
53,2014,0.772249460220337,2014,655871
53,2015,0.829394221305847,2014,655871
53,2016,0.833727777004242,2014,655871
53,2017,0.833556175231934,2014,655871
53,2018,0.837923347949982,2014,655871
53,2019,0.820945382118225,2014,655871
54,2008,0.6937375664711,2014,273024
54,2009,0.658407509326935,2014,273024
54,2010,0.671254515647888,2014,273024
54,2011,0.668987989425659,2014,273024
54,2012,0.64706814289093,2014,273024
54,2013,0.669224500656128,2014,273024
54,2014,0.766948699951172,2014,273024
54,2015,0.852476000785828,2014,273024
54,2016,0.852871060371399,2014,273024
54,2017,0.834855854511261,2014,273024
54,2018,0.816823184490204,2014,273024
54,2019,0.826768040657043,2014,273024
55,2008,0.702876210212708,2014,554412
55,2009,0.678265511989594,2014,554412
55,2010,0.700280964374542,2014,554412
55,2011,0.707881212234497,2014,554412
55,2012,0.69535356760025,2014,554412
55,2013,0.714467525482178,2014,554412
55,2014,0.784292459487915,2014,554412
55,2015,0.813971817493439,2014,554412
55,2016,0.852041840553284,2014,554412
55,2017,0.853017151355743,2014,554412
55,2018,0.839865624904633,2014,554412
55,2019,0.837915897369385,2014,554412
56,2008,0.616044580936432,NA,49886
56,2009,0.654755294322968,NA,49886
56,2010,0.575609743595123,NA,49886
56,2011,0.599313020706177,NA,49886
56,2012,0.628042042255402,NA,49886
56,2013,0.634324431419373,NA,49886
56,2014,0.655718207359314,NA,49886
56,2015,0.726786017417908,NA,49886
56,2016,0.679272472858429,NA,49886
56,2017,0.731003284454346,NA,49886
56,2018,0.701950252056122,NA,49886
56,2019,0.685572683811188,NA,49886
